timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-10-18,231.92,232.6499,230.17,232.2,232.2,4715688,0.0000,1.0
2024-10-17,232.0,233.145,230.655,232.88,232.88,5040092,0.0000,1.0
2024-10-16,232.11,233.88,231.12,233.67,233.67,2846669,0.0000,1.0
2024-10-15,236.4,237.37,232.71,232.96,232.96,3350556,0.0000,1.0
2024-10-14,233.57,236.12,233.17,235.26,235.26,2524389,0.0000,1.0
2024-10-11,233.25,233.44,230.46,233.26,233.26,3469322,0.0000,1.0
2024-10-10,235.1,235.83,231.81,233.02,233.02,3142031,0.0000,1.0
2024-10-09,229.2,234.95,228.5,234.3,234.3,5083566,0.0000,1.0
2024-10-08,228.11,229.345,227.0401,228.62,228.62,3245342,0.0000,1.0
2024-10-07,225.38,227.67,225.02,227.12,227.12,3457952,0.0000,1.0
2024-10-04,223.75,226.08,223.27,226.0,226.0,3554328,0.0000,1.0
2024-10-03,219.5,222.83,219.27,222.72,222.72,3788265,0.0000,1.0
2024-10-02,218.31,220.2,215.798,219.73,219.73,3343399,0.0000,1.0
2024-10-01,220.63,221.1,215.9,219.35,219.35,3548374,0.0000,1.0
2024-09-30,220.65,221.32,219.02,221.08,221.08,3544264,0.0000,1.0
2024-09-27,223.0,224.15,220.77,220.84,220.84,3830335,0.0000,1.0
2024-09-26,222.11,224.0,221.355,223.43,223.43,2673210,0.0000,1.0
2024-09-25,221.17,221.85,220.16,221.23,221.23,2537751,0.0000,1.0
2024-09-24,219.78,221.19,218.16,220.97,220.97,3184114,0.0000,1.0
2024-09-23,218.0,220.62,217.27,220.5,220.5,4074755,0.0000,1.0
2024-09-20,214.33,217.85,213.74,217.7,217.7,9958980,0.0000,1.0
2024-09-19,218.01,218.48,210.37,213.89,213.89,5279559,0.0000,1.0
2024-09-18,214.13,216.86,213.59,214.94,214.94,3482764,0.0000,1.0
2024-09-17,217.25,218.84,213.0,214.13,214.13,5635210,0.0000,1.0
2024-09-16,215.88,217.9,215.52,217.16,217.16,4176257,0.0000,1.0
2024-09-13,212.48,216.09,212.13,214.79,214.79,4572344,0.0000,1.0
2024-09-12,210.0,212.65,208.265,211.61,211.61,4616446,0.0000,1.0
2024-09-11,207.76,210.12,203.04,209.89,209.89,5554309,0.0000,1.0
2024-09-10,204.2,205.83,202.87,205.32,205.32,3070644,0.0000,1.0
2024-09-09,201.94,205.05,201.43,203.53,203.53,3705004,0.0000,1.0
2024-09-06,202.38,204.1,199.335,200.74,200.74,3304491,0.0000,1.0
2024-09-05,204.08,205.95,200.96,202.59,202.59,3229345,0.0000,1.0
2024-09-04,200.76,204.36,200.5,204.11,204.11,3111332,0.0000,1.0
2024-09-03,201.91,204.72,200.21,201.28,201.28,3874697,0.0000,1.0
2024-08-30,199.11,202.17,198.73,202.13,202.13,4750999,0.0000,1.0
2024-08-29,199.3,201.12,198.27,198.9,198.9,2989594,0.0000,1.0
2024-08-28,199.0,200.0,197.49,198.46,198.46,2645244,0.0000,1.0
2024-08-27,197.44,199.4,196.97,198.73,198.73,2617229,0.0000,1.0
2024-08-26,196.0,198.345,195.9,197.98,197.98,2567217,0.0000,1.0
2024-08-23,196.79,197.38,194.39,196.1,196.1,2321961,0.0000,1.0
2024-08-22,197.25,197.92,195.57,195.96,195.96,1969496,0.0000,1.0
2024-08-21,195.97,197.33,194.115,197.21,197.21,2579343,0.0000,1.0
2024-08-20,194.59,196.21,193.75,196.03,196.03,1790371,0.0000,1.0
2024-08-19,193.84,195.525,193.715,194.73,194.73,2361378,0.0000,1.0
2024-08-16,193.58,194.35,192.86,193.78,193.78,2494472,0.0000,1.0
2024-08-15,193.51,194.25,193.28,193.95,193.95,2471985,0.0000,1.0
2024-08-14,191.15,193.09,190.73,192.32,192.32,1895114,0.0000,1.0
2024-08-13,190.29,191.31,189.21,190.99,190.99,2178862,0.0000,1.0
2024-08-12,191.25,191.5761,189.0001,189.48,189.48,2290421,0.0000,1.0
2024-08-09,191.18,192.63,189.04,191.45,191.45,2773706,1.6700,1.0
2024-08-08,187.5,192.88,187.0,192.61,190.944410211268,3712698,0.0000,1.0
2024-08-07,188.08,189.87,186.7,186.8,185.184652029826,3801942,0.0000,1.0
2024-08-06,184.7,188.9,183.64,186.8,185.184652029826,3632517,0.0000,1.0
2024-08-05,184.55,185.255,181.81,183.31,181.724831710853,4975002,0.0000,1.0
2024-08-02,188.78,189.26,185.7,189.12,187.484589892295,4548824,0.0000,1.0
2024-08-01,192.81,193.635,188.29,189.66,188.019920256835,4085354,0.0000,1.0
2024-07-31,191.0,194.5499,189.99,192.14,190.478474523612,5558405,0.0000,1.0
2024-07-30,191.48,192.77,189.09,191.04,189.387986743993,3064978,0.0000,1.0
2024-07-29,193.18,193.29,189.18,191.5,189.844008906379,3336806,0.0000,1.0
2024-07-26,190.51,193.57,189.622,191.75,190.091847038111,4294875,0.0000,1.0
2024-07-25,186.8,196.26,185.3,191.98,190.319858119304,9532802,0.0000,1.0
2024-07-24,184.14,185.0714,183.145,184.02,182.428692004971,6962071,0.0000,1.0
2024-07-23,184.36,185.38,183.01,184.1,182.508000207125,2180225,0.0000,1.0
2024-07-22,183.4,184.97,182.86,184.15,182.557567833471,2488525,0.0000,1.0
2024-07-19,186.33,187.0,181.95,183.25,181.665350559238,3816039,0.0000,1.0
2024-07-18,186.64,189.47,185.1,185.22,183.618315037283,3487808,0.0000,1.0
2024-07-17,185.44,187.94,185.07,187.45,185.829031172328,4225302,0.0000,1.0
2024-07-16,184.67,186.6,184.52,185.81,184.203213028169,3374526,0.0000,1.0
2024-07-15,183.38,184.9,182.6,182.88,181.298550124275,2925794,0.0000,1.0
2024-07-12,178.56,184.16,178.5,182.83,181.248982497929,4785565,0.0000,1.0
2024-07-11,177.65,179.44,176.62,178.31,176.768069076222,2807145,0.0000,1.0
2024-07-10,176.6,178.22,174.45,177.84,176.302133388567,3462182,0.0000,1.0
2024-07-09,177.6,177.7,175.58,176.48,174.953893951947,2513305,0.0000,1.0
2024-07-08,176.41,178.59,176.01,177.64,176.103862883181,2503038,0.0000,1.0
2024-07-05,175.74,176.09,173.95,176.02,174.497871789561,2085970,0.0000,1.0
2024-07-03,177.88,177.98,175.17,175.73,174.210379556752,1649049,0.0000,1.0
2024-07-02,174.84,177.485,174.32,177.3,175.766803024027,2883275,0.0000,1.0
2024-07-01,173.45,176.46,173.38,175.1,173.585827464789,3320961,0.0000,1.0
2024-06-28,170.85,173.46,170.53,172.95,171.454419531897,4193459,0.0000,1.0
2024-06-27,171.12,172.5,170.48,170.85,169.372579225352,2894001,0.0000,1.0
